"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.417765700E-2,0.000000000E0,0.000000000E0,0.000000000E0,0.000000000E0
3.873093800E-2,-1.344147325E-2,-2.043145895E-2,-1.029682159E-2,2.653567886E-2
4.328343800E-2,-4.426144809E-2,-4.497867823E-2,-1.567554474E-2,6.502214995E-2
4.783682400E-2,-4.034881294E-2,-5.931288004E-2,3.581047058E-3,7.182526256E-2
5.239083400E-2,-6.457664818E-2,-7.577902079E-2,1.935195923E-2,1.014253509E-1
5.694411500E-2,-8.732110262E-2,-8.980250359E-2,-2.477645874E-3,1.252820951E-1
6.149661500E-2,-8.264653385E-2,-8.289873600E-2,-1.500606537E-2,1.180162361E-1
6.604994900E-2,-5.988180637E-2,-6.911051273E-2,-3.038215637E-2,9.635958245E-2
7.060401100E-2,-2.904000878E-2,-5.456018448E-2,-6.785964966E-2,9.178816859E-2
7.515729200E-2,-2.294994891E-2,-5.779489875E-2,-1.110076904E-1,1.272385862E-1
7.970979200E-2,-5.060885102E-2,-8.106631041E-2,-1.926651001E-1,2.150647421E-1
8.426312600E-2,-6.125663221E-2,-1.005850732E-1,-2.778987885E-1,3.018235719E-1
8.881718800E-2,-4.511976987E-2,-8.362033963E-2,-3.298130035E-1,3.432269980E-1
9.337046900E-2,-1.468943805E-2,-6.347483397E-2,-3.533258438E-1,3.592825991E-1
9.792296900E-2,7.182434201E-4,-2.439939976E-2,-3.279571533E-1,3.288643200E-1
1.024763030E-1,6.781600416E-3,2.582752705E-2,-2.630109787E-1,2.643630575E-1
1.070303130E-1,4.479433596E-2,6.428334117E-2,-1.803865433E-1,1.966677032E-1
1.115836460E-1,7.945027947E-2,1.122183204E-1,-1.007118225E-1,1.704352356E-1
1.161360940E-1,1.317373663E-1,1.192205846E-1,3.946304321E-3,1.777184706E-1
1.206894800E-1,1.513480246E-1,1.622555256E-1,4.430198669E-2,2.262647700E-1
1.252434900E-1,1.791248918E-1,1.804860532E-1,4.868030548E-2,2.589029054E-1
1.297967710E-1,2.286043018E-1,1.591984034E-1,5.526351929E-2,2.840037236E-1
1.343492710E-1,2.348709852E-1,1.756740808E-1,9.032249451E-3,2.934405287E-1
1.389026050E-1,2.522324324E-1,1.482757330E-1,-3.985214233E-2,2.952881409E-1
1.434566670E-1,2.454836518E-1,1.248441935E-1,-1.465978622E-1,3.119923543E-1
1.480099490E-1,2.196933031E-1,1.029345691E-1,-2.633008957E-1,3.580335663E-1
1.525624490E-1,2.254910171E-1,3.418102860E-2,-3.438386917E-1,4.126010027E-1
1.571157820E-1,1.663199961E-1,-1.302903891E-2,-3.712263107E-1,4.069902588E-1
1.616698440E-1,1.314444840E-1,-4.439812899E-2,-3.473176956E-1,3.740032459E-1
1.662231260E-1,9.677257389E-2,-6.515634060E-2,-3.246183395E-1,3.449454249E-1
1.707756260E-1,1.110597551E-1,-4.827642441E-2,-2.543668747E-1,2.817221846E-1
1.753289590E-1,1.221873760E-1,-3.246101737E-2,-1.726350784E-1,2.139774353E-1
1.798829690E-1,1.791024804E-1,2.132102847E-2,-6.333541870E-2,1.911639611E-1
1.844363030E-1,1.947349310E-1,3.519913554E-2,5.435657501E-2,2.052201494E-1
1.889888030E-1,1.980714500E-1,7.964253426E-2,1.455516815E-1,2.583805808E-1
1.935421360E-1,2.196440995E-1,1.119472086E-1,2.018289566E-1,3.186073378E-1
1.980961460E-1,2.449713647E-1,1.279895008E-1,1.916112900E-1,3.363140917E-1
2.026494280E-1,2.740414739E-1,1.376936138E-1,1.375856400E-1,3.361369795E-1
2.072019280E-1,2.860282063E-1,1.392208338E-1,5.477046967E-2,3.227915422E-1
2.117553130E-1,2.884259224E-1,1.260954142E-1,-4.915237427E-3,3.148233246E-1
2.163093240E-1,2.862416804E-1,1.408351362E-1,-3.277873993E-2,3.206918785E-1
2.208626050E-1,2.727326155E-1,1.362884343E-1,-4.830837250E-2,3.086929149E-1
2.254151050E-1,2.646078169E-1,1.621375680E-1,-5.648708344E-2,3.154309407E-1
2.299684380E-1,2.454149276E-1,1.966691911E-1,-5.515289307E-2,3.192946900E-1
2.345225010E-1,2.553113699E-1,2.516913414E-1,-1.287546158E-1,3.809332986E-1
2.390757820E-1,2.165312171E-1,2.730785608E-1,-1.797676086E-1,3.921403594E-1
2.436282820E-1,2.120305449E-1,2.759399712E-1,-2.157573700E-1,4.094521491E-1
2.481816150E-1,1.826191247E-1,2.702476680E-1,-2.628488541E-1,4.188950547E-1
2.527356260E-1,1.499204338E-1,2.748112082E-1,-2.716274261E-1,4.144620553E-1
2.572889590E-1,1.536104679E-1,2.192395627E-1,-2.944545746E-1,3.979518290E-1
2.618414590E-1,1.552675217E-1,2.054299712E-1,-2.911806107E-1,3.887102062E-1
2.663947920E-1,1.405148208E-1,1.598713696E-1,-3.256616592E-1,3.890485651E-1
2.709488030E-1,1.233963519E-1,1.041491330E-1,-3.572893143E-1,3.920833529E-1
2.755020840E-1,1.059538797E-1,9.941673279E-2,-4.049139023E-1,4.301920265E-1
2.800545840E-1,4.337412119E-2,9.289523959E-2,-3.766403198E-1,3.903444254E-1
2.846079170E-1,2.113687247E-2,1.102462709E-1,-3.489971161E-1,3.666060483E-1
2.891619800E-1,2.682087570E-2,1.178781688E-1,-2.749204636E-1,3.003262948E-1
2.937152610E-1,8.327275515E-3,1.697750390E-1,-1.833734512E-1,2.500374572E-1
2.982677610E-1,-1.266097277E-2,1.825622022E-1,-1.263303757E-1,2.223704606E-1
3.028210940E-1,6.403721869E-3,2.109079361E-1,-4.200363159E-2,2.151452306E-1
3.073751570E-1,4.370002449E-2,2.380403578E-1,1.743030548E-2,2.426452547E-1
3.119284380E-1,6.374879181E-2,2.333320975E-1,2.886199951E-2,2.435996536E-1
3.164809380E-1,8.600417525E-2,2.255404890E-1,9.541511536E-3,2.415704261E-1
3.210342710E-1,1.175626591E-1,2.360153496E-1,-1.179981232E-2,2.639383633E-1
3.255882820E-1,1.136422977E-1,2.198222578E-1,-4.221534729E-2,2.510349226E-1
3.301416150E-1,1.101309136E-1,2.197731137E-1,-5.565929413E-2,2.520456242E-1
3.346941150E-1,1.326817572E-1,2.098589838E-1,-7.596492767E-2,2.596457433E-1
3.392474490E-1,1.571846604E-1,2.209752202E-1,-1.054010391E-1,2.909406202E-1
3.438014590E-1,1.835767329E-1,2.318114936E-1,-1.344213486E-1,3.248170014E-1
3.483547400E-1,1.671356410E-1,2.683750391E-1,-1.960697174E-1,3.720252924E-1
3.529072400E-1,1.770961583E-1,2.855458856E-1,-2.238607407E-1,4.037488492E-1
3.574605740E-1,1.823742092E-1,3.000043035E-1,-1.946706772E-1,4.014468917E-1
3.620146360E-1,1.712950766E-1,2.999896109E-1,-1.777114868E-1,3.884805561E-1
3.665679170E-1,1.604958922E-1,3.046331704E-1,-1.492052078E-1,3.752632329E-1
3.711204170E-1,1.523790956E-1,3.209028840E-1,-1.565113068E-1,3.881930433E-1
3.756737510E-1,1.045630574E-1,3.392046094E-1,-1.920795441E-1,4.035935471E-1
3.802277610E-1,5.768860877E-2,3.312328458E-1,-2.295761108E-1,4.071220510E-1
3.847810940E-1,1.155376434E-2,3.399519920E-1,-2.170238495E-1,4.034850649E-1
3.893335940E-1,-3.645639867E-2,3.298800588E-1,-2.164831161E-1,3.962510085E-1
3.938869280E-1,-7.695318013E-2,2.705869079E-1,-2.514343262E-1,3.773039716E-1
3.984409380E-1,-1.147811115E-1,2.501047254E-1,-2.883625031E-1,3.985975544E-1
4.029942190E-1,-1.333944947E-1,1.852824688E-1,-3.154411316E-1,3.893928504E-1
4.075467190E-1,-1.567340344E-1,1.545933485E-1,-2.831497192E-1,3.586619919E-1
4.121001050E-1,-1.517546326E-1,1.246266961E-1,-2.181959152E-1,2.935485297E-1
4.166541150E-1,-1.261047125E-1,9.762203693E-2,-1.658668518E-1,2.300962258E-1
4.212073960E-1,-1.412278712E-1,8.783310652E-2,-1.023588181E-1,1.952877206E-1
4.257598960E-1,-1.114028767E-1,1.091970205E-1,-7.508850098E-2,1.731267547E-1
4.303132300E-1,-1.102477312E-1,1.045885086E-1,-7.181167603E-2,1.680780628E-1
4.348672920E-1,-9.248716384E-2,1.169928312E-1,-3.311252594E-2,1.527666109E-1
4.394205740E-1,-6.071835011E-2,8.690518141E-2,-1.616001129E-2,1.072397993E-1
4.439730740E-1,-4.117005318E-2,9.992468357E-2,1.242923737E-2,1.087860359E-1
4.485264070E-1,8.856326342E-3,6.795704365E-2,5.963897705E-2,9.084823543E-2
4.530804170E-1,9.848112613E-2,6.942576170E-2,1.418571472E-1,1.861233967E-1
4.576337510E-1,2.012816072E-1,6.130516529E-2,2.090215683E-1,2.965849367E-1
4.621862510E-1,2.390290201E-1,5.316078663E-2,2.684078217E-1,3.633231350E-1
4.667395840E-1,2.761952877E-1,4.730093479E-2,2.869634628E-1,4.010850837E-1
4.712935940E-1,2.939060628E-1,4.854381084E-2,2.911558151E-1,4.165440961E-1
4.758468760E-1,2.900491059E-1,3.081828356E-2,2.906026840E-1,4.117379875E-1
4.803993760E-1,2.885722518E-1,2.026015520E-2,2.782497406E-1,4.013817840E-1
4.849527090E-1,2.609537542E-1,-2.098798752E-3,3.063259125E-1,4.024137565E-1
4.895067710E-1,2.430248260E-1,-2.446073294E-2,3.389062881E-1,4.177521582E-1
4.940600530E-1,2.439311296E-1,-4.935878515E-2,3.830766678E-1,4.568220869E-1
4.986125530E-1,1.969715208E-1,-6.260848045E-2,4.221487045E-1,4.700288614E-1
5.031658860E-1,1.974813044E-1,-8.575823903E-2,3.779811859E-1,4.349978368E-1
5.077198960E-1,1.741788387E-1,-9.738793969E-2,3.390455246E-1,3.934139632E-1
5.122732300E-1,1.677392721E-1,-9.760653973E-2,2.839479446E-1,3.439330389E-1
5.168257300E-1,1.497759670E-1,-7.692921162E-2,2.388944626E-1,2.922695813E-1
5.213790630E-1,1.489996314E-1,-7.099694014E-2,1.942949295E-1,2.549352375E-1
5.259330740E-1,1.249476969E-1,-4.874259233E-2,1.477584839E-1,1.995503366E-1
5.304863550E-1,1.253581345E-1,-2.922290564E-2,8.506202698E-2,1.542860607E-1
5.350388550E-1,1.026905030E-1,-1.941323280E-2,3.715991974E-2,1.109192168E-1
5.395922400E-1,9.999953210E-2,-7.261216640E-3,3.901481628E-3,1.003386927E-1
5.441462510E-1,1.240693927E-1,2.844798565E-2,-6.074905396E-4,1.272904990E-1
5.486995320E-1,1.080834121E-1,3.059351444E-2,4.947185516E-2,1.227414011E-1
5.532520320E-1,6.645196676E-2,5.159819126E-2,4.930973053E-2,9.751762278E-2
5.578053650E-1,1.819720864E-2,2.957111597E-2,5.391025543E-2,6.412413698E-2
5.623594280E-1,-2.493724227E-2,1.944190264E-2,3.476428986E-2,4.699371745E-2
5.669127090E-1,-5.605541170E-2,2.186119556E-3,1.561164856E-3,5.611974283E-2
5.714652090E-1,-7.315958291E-2,-5.313396454E-3,-7.633209229E-3,7.374837379E-2
5.760185420E-1,-1.051340103E-1,-4.099357128E-2,-2.387046814E-2,1.153405057E-1
5.805725530E-1,-9.025374055E-2,-6.180042028E-2,-6.370735168E-2,1.265845816E-1
5.851258340E-1,-1.117932796E-1,-4.412829876E-2,-6.288242340E-2,1.356438104E-1
